"species","x","y"
"Pachycereus pringlei",-113.743700461,28.207674174
"Pachycereus pringlei",-113.513700461,27.127674174
"Pachycereus pringlei",-112.593700461,27.097674174
"Pachycereus pringlei",-112.073700461,26.477674174
"Pachycereus pringlei",-112.363700461,28.847674174
"Pachycereus pringlei",-113.353700461,31.537674174
"Pachycereus pringlei",-110.353700461,23.777674174
"Pachycereus pringlei",-111.933700461,25.437674174
"Pachycereus pringlei",-111.953700461,29.607674174
"Pachycereus pringlei",-113.383700461,27.277674174
"Pachycereus pringlei",-112.573700461,29.927674174
"Pachycereus pringlei",-111.673700461,25.957674174
"Pachycereus pringlei",-113.623700461,28.927674174
"Pachycereus pringlei",-110.013700461,24.117674174
"Pachycereus pringlei",-113.943700461,27.657674174
"Pachycereus pringlei",-113.283700461,28.337674174
"Pachycereus pringlei",-113.053700461,30.947674174
"Pachycereus pringlei",-112.473700461,27.067674174
"Pachycereus pringlei",-115.213700461,30.097674174
"Pachycereus pringlei",-113.233700461,31.797674174
"Pachycereus pringlei",-113.433700461,27.627674174
"Pachycereus pringlei",-113.243700461,27.407674174
"Pachycereus pringlei",-112.793700461,27.637674174
"Pachycereus pringlei",-110.163700461,24.107674174
"Pachycereus pringlei",-112.773700461,31.237674174
"Pachycereus pringlei",-112.963700461,27.167674174
"Pachycereus pringlei",-111.263700461,24.357674174
"Pachycereus pringlei",-109.773700461,23.717674174
"Pachycereus pringlei",-111.503700461,25.867674174
"Pachycereus pringlei",-113.443700461,27.747674174
"Pachycereus pringlei",-110.113700461,27.177674174
"Pachycereus pringlei",-113.833700461,28.787674174
"Pachycereus pringlei",-113.583700461,27.327674174
"Pachycereus pringlei",-113.053700461,28.207674174
"Pachycereus pringlei",-112.903700461,26.787674174
"Pachycereus pringlei",-112.793700461,26.807674174
"Pachycereus pringlei",-113.863700461,28.377674174
"Pachycereus pringlei",-114.483700461,29.107674174
"Pachycereus pringlei",-111.283700461,25.117674174
"Pachycereus pringlei",-112.283700461,30.347674174
"Pachycereus pringlei",-113.463700461,26.857674174
"Pachycereus pringlei",-112.843700461,30.647674174
"Pachycereus pringlei",-112.493700461,30.697674174
"Pachycereus pringlei",-115.253700461,30.097674174
"Pachycereus pringlei",-113.943700461,28.617674174
"Pachycereus pringlei",-114.343700461,31.787674174
"Pachycereus pringlei",-109.913700461,24.327674174
"Pachycereus pringlei",-113.553700461,29.517674174
"Pachycereus pringlei",-112.213700461,26.127674174
"Pachycereus pringlei",-113.583700461,28.327674174
"Pachycereus pringlei",-113.883700461,28.367674174
"Pachycereus pringlei",-112.973700461,27.847674174
"Pachycereus pringlei",-112.863700461,27.547674174
"Pachycereus pringlei",-111.003700461,25.007674174
"Pachycereus pringlei",-113.533700461,31.657674174
"Pachycereus pringlei",-113.903700461,29.467674174
"Pachycereus pringlei",-112.373700461,27.337674174
"Pachycereus pringlei",-114.643700461,29.377674174
"Pachycereus pringlei",-112.183700461,26.367674174
"Pachycereus pringlei",-111.713700461,29.337674174
"Pachycereus pringlei",-113.813700461,28.537674174
"Pachycereus pringlei",-114.793700461,29.277674174
"Pachycereus pringlei",-112.333700461,26.737674174
"Pachycereus pringlei",-111.743700461,29.487674174
"Pachycereus pringlei",-111.993700461,26.367674174
"Pachycereus pringlei",-114.183700461,31.617674174
"Pachycereus pringlei",-111.163700461,25.177674174
"Pachycereus pringlei",-114.853700461,29.407674174
"Pachycereus pringlei",-113.853700461,28.427674174
"Pachycereus pringlei",-114.703700461,30.667674174
"Pachycereus pringlei",-110.373700461,23.947674174
"Pachycereus pringlei",-112.883700461,26.717674174
"Pachycereus pringlei",-111.233700461,24.467674174
"Pachycereus pringlei",-113.543700461,29.047674174
"Pachycereus pringlei",-112.083700461,26.777674174
"Pachycereus pringlei",-113.173700461,27.217674174
"Pachycereus pringlei",-113.463700461,31.807674174
"Pachycereus pringlei",-111.333700461,28.777674174
"Pachycereus pringlei",-111.493700461,26.077674174
"Pachycereus pringlei",-111.063700461,25.137674174
"Pachycereus pringlei",-109.443700461,23.277674174
"Pachycereus pringlei",-114.543700461,28.957674174
"Pachycereus pringlei",-113.713700461,27.707674174
"Pachycereus pringlei",-113.593700461,31.997674174
"Pachycereus pringlei",-112.523700461,30.387674174
"Pachycereus pringlei",-113.163700461,31.737674174
"Pachycereus pringlei",-112.123700461,26.707674174
"Pachycereus pringlei",-110.833700461,24.147674174
"Pachycereus pringlei",-114.923700461,30.377674174
"Pachycereus pringlei",-112.773700461,26.727674174
"Pachycereus pringlei",-110.063700461,23.927674174
"Pachycereus pringlei",-113.283700461,28.347674174
"Pachycereus pringlei",-114.463700461,29.177674174
"Pachycereus pringlei",-111.583700461,25.607674174
"Pachycereus pringlei",-113.743700461,28.797674174
"Pachycereus pringlei",-113.823700461,31.887674174
"Pachycereus pringlei",-113.013700461,30.767674174
"Pachycereus pringlei",-111.613700461,25.887674174
"Pachycereus pringlei",-112.863700461,30.797674174
"Pachycereus pringlei",-113.773700461,28.697674174
"Pachycereus pringlei",-111.213700461,24.507674174
"Pachycereus pringlei",-113.363700461,29.237674174
"Pachycereus pringlei",-113.703700461,27.307674174
"Pachycereus pringlei",-112.723700461,31.007674174
"Pachycereus pringlei",-110.863700461,24.417674174
"Pachycereus pringlei",-114.193700461,28.947674174
"Pachycereus pringlei",-114.013700461,32.127674174
