"sp_name","longitude","latitude"
"Ambystoma tigrinum",-107.083333332819,51.0833333335234
"Ambystoma tigrinum",-102.416666666139,44.416666666827
"Ambystoma tigrinum",-99.749999999465,45.9166666668337
"Ambystoma tigrinum",-85.7499999994259,45.2500000001641
"Ambystoma tigrinum",-91.7499999994427,45.7500000001663
"Ambystoma tigrinum",-91.4166666661084,39.7500000001395
"Ambystoma tigrinum",-105.416666666148,25.5833333334096
"Ambystoma tigrinum",-114.083333332838,51.9166666668605
"Ambystoma tigrinum",-113.583333332837,40.5833333334766
"Ambystoma tigrinum",-108.74999999949,41.0833333334788
"Ambystoma tigrinum",-118.916666666185,50.916666666856
"Ambystoma tigrinum",-76.0833333327322,45.0833333334966
"Ambystoma tigrinum",-106.41666666615,35.9166666667891
"Ambystoma tigrinum",-121.416666666192,44.9166666668292
"Ambystoma tigrinum",-120.916666666191,42.4166666668181
"Ambystoma tigrinum",-85.2499999994245,44.7500000001618
"Ambystoma tigrinum",-110.249999999494,35.083333333452
"Ambystoma tigrinum",-95.2499999994524,35.2500000001194
"Ambystoma tigrinum",-92.0833333327769,40.5833333334766
"Ambystoma tigrinum",-113.41666666617,47.4166666668404
"Ambystoma tigrinum",-101.749999999471,47.7500000001752
"Ambystoma tigrinum",-84.5833333327559,45.5833333334989
"Ambystoma tigrinum",-122.249999999528,53.750000000202
"Ambystoma tigrinum",-111.416666666164,54.4166666668716
"Ambystoma tigrinum",-95.4166666661196,32.250000000106
"Ambystoma tigrinum",-98.0833333327937,31.0833333334341
"Ambystoma tigrinum",-79.583333332742,43.4166666668225
"Ambystoma tigrinum",-108.916666666157,35.9166666667891
"Ambystoma tigrinum",-117.083333332847,51.4166666668583
"Ambystoma tigrinum",-106.083333332816,27.4166666667511
"Ambystoma tigrinum",-110.583333332829,36.5833333334587
"Ambystoma tigrinum",-118.749999999518,50.916666666856
"Ambystoma tigrinum",-111.249999999497,45.9166666668337
"Ambystoma tigrinum",-100.583333332801,39.4166666668047
"Ambystoma tigrinum",-102.749999999473,40.5833333334766
"Ambystoma tigrinum",-107.249999999486,36.5833333334587
"Ambystoma tigrinum",-98.0833333327937,39.9166666668069
"Ambystoma tigrinum",-110.416666666162,36.5833333334587
"Ambystoma tigrinum",-105.24999999948,29.7500000000949
"Ambystoma tigrinum",-118.916666666185,39.0833333334699
"Ambystoma tigrinum",-99.749999999465,43.58333333349
"Ambystoma tigrinum",-115.249999999508,37.5833333334632
"Ambystoma tigrinum",-105.416666666148,42.2500000001507
"Ambystoma tigrinum",-119.749999999521,49.9166666668516
"Ambystoma tigrinum",-77.9166666660706,38.2500000001328
"Ambystoma tigrinum",-103.249999999475,21.2500000000569
"Ambystoma tigrinum",-87.4166666660972,37.4166666667958
"Ambystoma tigrinum",-100.583333332801,35.4166666667868
"Ambystoma tigrinum",-85.5833333327587,39.5833333334721
"Ambystoma tigrinum",-122.749999999529,53.2500000001998
"Ambystoma tigrinum",-100.749999999468,42.0833333334833
"Ambystoma tigrinum",-103.749999999476,27.4166666667511
"Ambystoma tigrinum",-78.2499999994049,40.5833333334766
"Ambystoma tigrinum",-82.4166666660832,39.0833333334699
"Ambystoma tigrinum",-104.416666666145,43.4166666668225
"Ambystoma tigrinum",-106.749999999485,30.5833333334319
"Ambystoma tigrinum",-91.7499999994427,46.9166666668382
"Ambystoma tigrinum",-99.749999999465,42.9166666668203
"Ambystoma tigrinum",-96.4166666661224,46.2500000001685
"Ambystoma tigrinum",-103.249999999475,45.9166666668337
"Ambystoma tigrinum",-111.583333332831,40.5833333334766
"Ambystoma tigrinum",-94.2499999994497,44.416666666827
"Ambystoma tigrinum",-97.4166666661252,37.2500000001283
"Ambystoma tigrinum",-100.916666666135,33.4166666667779
"Ambystoma tigrinum",-106.749999999485,41.0833333334788
"Ambystoma tigrinum",-109.583333332826,38.0833333334654
"Ambystoma tigrinum",-105.583333332815,49.9166666668516
"Ambystoma tigrinum",-117.249999999514,43.7500000001574
"Ambystoma tigrinum",-94.749999999451,37.2500000001283
"Ambystoma tigrinum",-116.91666666618,46.2500000001685
"Ambystoma tigrinum",-106.749999999485,41.9166666668158
"Ambystoma tigrinum",-81.4166666660804,37.0833333334609
"Ambystoma tigrinum",-110.416666666162,33.5833333334453
"Ambystoma tigrinum",-97.249999999458,38.9166666668025
"Ambystoma tigrinum",-111.08333333283,43.9166666668248
"Ambystoma tigrinum",-98.0833333327937,31.7500000001038
"Ambystoma tigrinum",-107.416666666153,46.0833333335011
"Ambystoma tigrinum",-108.416666666156,29.2500000000926
"Ambystoma tigrinum",-116.083333332844,36.9166666667935
"Ambystoma tigrinum",-114.916666666174,48.7500000001797
"Ambystoma tigrinum",-121.083333332858,40.2500000001417
"Ambystoma tigrinum",-102.416666666139,42.4166666668181
"Ambystoma tigrinum",-102.749999999473,35.9166666667891
"Ambystoma tigrinum",-88.7499999994343,43.2500000001551
"Ambystoma tigrinum",-100.583333332801,31.9166666667712
"Ambystoma tigrinum",-91.0833333327741,38.9166666668025
"Ambystoma tigrinum",-113.41666666617,42.7500000001529
"Ambystoma tigrinum",-121.416666666192,39.7500000001395
"Ambystoma tigrinum",-114.58333333284,42.9166666668203
"Ambystoma tigrinum",-94.4166666661168,45.4166666668315
